"StrategyName"	"UD_EffectsL"	"UD_EffectsQ"	"UD_Costs"	"D_EffectsL"	"D_EffectsQ"	"D_Costs"	"ICER_L"	"ICER_Q"
"60_95_5"	7989175.70668011	7962155.56436727	135881400	1936740.33469481	1935741.90983041	6689747.6	"SD"	"SD"
"60_95_7"	7988045.63281315	7961741.98943379	123024200	1936718.33380796	1935735.60399579	6279352.32	"SD"	"SD"
"60_100_1"	7994217.33233594	7962666.55719519	328966400	1936843.03612276	1935731.95589529	12605068.71	"SD"	"SD"
"60_100_2"	7992581.9475107	7963095.78878256	206670000	1936809.28858662	1935753.09406992	8871415.44	"SD"	"SD"
"60_100_4"	7990387.74292887	7962632.26649165	147250000	1936763.75909253	1935749.71939747	7039449.18	"SD"	"SD"
"60_100_5"	7989175.70668011	7962155.56436727	135881400	1936740.33469481	1935741.90983041	6689747.6	"SD"	"SD"
"60_100_8"	7987532.0130257	7961532.27554007	119149600	1936707.63611857	1935731.69389449	6160331.48	"SD"	"SD"
"60_100_10"	7986696.7875108	7961184.73678261	113573200	1936691.39551638	1935725.6232163	5992825.89	"SD"	"SD"
"65_70_1"	7986024.85628991	7960569.41817217	143872500	1936669.65852621	1935703.52298122	7161187.59	"SD"	"SD"
"65_70_5"	7984530.64806656	7960224.91306049	105344600	1936636.99295596	1935702.30247159	5708210.14	"SD"	"SD"
"65_75_1"	7987772.07912717	7960982.5585908	186599600	1936699.27922361	1935705.04298041	8414626.34	"SD"	"SD"
"65_75_2"	7986825.76217813	7960988.62411628	139762200	1936679.44066467	1935711.21274104	6839737.23	"SD"	"SD"
"65_75_5"	7985414.66023475	7960573.47514459	112613000	1936650.79721647	1935706.70377364	5915728.86	"SD"	"SD"
"65_75_10"	7984221.62300598	7960078.5015302	104292500	1936627.94282295	1935698.75890728	5619080.42	"SD"	"SD"
"65_80_1"	7989061.93601492	7961229.98603468	222827700	1936718.00192577	1935705.37879839	9253539.55	"SD"	"SD"
"65_80_3"	7987279.33211082	7961242.17508263	134895600	1936683.05103571	1935715.50379406	6561062.58	"SD"	"SD"
"65_80_5"	7986036.32984138	7960803.9679479	118504200	1936659.09221842	1935709.16191022	6049499.1	"SD"	"SD"
"65_85_1"	7989727.0883996	7961260.27722702	251021200	1936726.40576292	1935704.21835087	9759915.26	"SD"	"SD"
"65_85_2"	7988344.341182	7961394.71661822	170337900	1936700.01114859	1935714.3568196	7475712.37	"SD"	"SD"
"65_85_4"	7986723.29941291	7961003.02173367	130977300	1936669.62519776	1935711.06928749	6348380.84	"SD"	"SD"
"65_85_5"	7986281.03025229	7960866.61515336	123477500	1936661.90576426	1935709.60324474	6132995.24	"SD"	"SD"
"65_85_10"	7984537.6283653	7960173.97820987	109121100	1936631.5650149	1935699.55167246	5702132.3	"SD"	"SD"
"65_90_1"	7989971.90172927	7961194.51089185	268567500	1936728.96120536	1935702.86408929	10008045.24	"SD"	"SD"
"65_90_5"	7986356.34961966	7960871.72783705	126174200	1936662.63076771	1935709.55405466	6168236.32	"SD"	"SD"
"65_95_1"	7990010.06196236	7961123.2560084	277240000	1936729.31045639	1935702.0470208	10103781.14	"SD"	"SD"
"65_95_2"	7988559.67949876	7961366.9807766	182592400	1936702.15925656	1935713.70703739	7633981.19	"SD"	"SD"
"65_95_3"	7987885.58076282	7961356.94140863	151219400	1936689.98341755	1935716.16214328	6810174.95	"SD"	"SD"
"65_95_5"	7986361.85877853	7960861.38041648	127384400	1936662.67686643	1935709.44881762	6180241.26	"SD"	"SD"
"65_95_6"	7986114.15370816	7960809.32988129	121244200	1936657.65989463	1935708.81854882	6015518.95	"SD"	"SD"
"65_95_10"	7984548.05440561	7960165.11423002	110377800	1936631.65337651	1935699.45773136	5714672.29	"SD"	"SD"
"65_100_1"	7990010.06196236	7961101.4050084	279437100	1936729.31045639	1935701.8547144	10123121.38	"SD"	"SD"
"65_100_5"	7986361.85877853	7960861.38041648	127384400	1936662.67686643	1935709.44881762	6180241.26	"SD"	"SD"
